Row Labels,Sreg_amph,Sreg_birds,Sreg_mamm,Send_mam,Send_bird,Send_amph
NT0136,244,1115,286,3,11,52
NT0137,72,727,215,1,0,2
NT0138,105,779,220,1,0,0
NT0139,56,571,160,0,0,0
NT0140,130,776,226,0,0,1
NT0141,144,895,279,0,0,1
NT0142,235,1068,297,3,3,10
NT0143,110,766,243,0,1,0
NT0144,37,397,122,0,0,0
NT0145,375,1151,300,1,24,118
NT0146,101,612,199,1,0,10
NT0147,62,672,218,0,0,0
NT0148,22,450,133,0,0,0
NT0149,74,622,188,0,0,0
NT0150,305,879,285,1,1,7
NT0151,65,441,139,0,1,4
NT0152,75,450,154,0,0,0
NT0153,326,1380,335,2,4,73
NT0154,141,734,242,0,1,6
NT0155,19,190,13,0,2,12
NT0156,199,835,278,1,0,0
NT0157,141,751,225,0,0,1
NT0158,117,734,242,0,0,1
NT0159,38,592,176,0,0,6
NT0160,326,803,221,3,2,4
NT0161,37,452,118,1,1,5
NT0162,62,490,164,0,0,2
NT0163,178,672,231,0,0,2
NT0164,19,255,36,0,0,0
NT0165,72,664,220,1,0,4
NT0166,281,1419,394,4,4,8
NT0167,214,776,219,2,1,14
NT0168,115,760,211,1,0,2
NT0169,210,837,255,1,0,24
NT0170,84,665,183,0,0,0
NT0171,34,372,84,0,1,2
NT0173,134,893,263,0,0,1
NT0174,209,1141,270,0,3,20
NT0175,108,778,225,0,0,22
NT0176,71,573,187,0,0,2
NT0177,50,466,142,0,0,0
NT0178,92,741,177,0,0,3
NT0179,8,168,25,0,4,3
NT0180,108,738,202,0,0,1
NT0181,23,457,122,2,3,0
NT0182,147,857,259,0,0,2
NT0201,93,971,277,0,0,2
NT0202,85,502,183,0,0,0
NT0204,35,386,155,0,0,0
NT0205,72,531,201,0,0,1
NT0206,74,1049,266,2,0,0
NT0207,56,703,208,0,0,0
NT0209,132,873,244,0,0,2
NT0210,116,808,274,12,2,6
NT0211,53,553,180,1,0,3
NT0212,125,829,241,2,0,1
NT0213,44,272,32,0,0,1
NT0214,41,579,139,0,0,0
NT0215,34,217,20,0,0,1
NT0216,0,59,0,0,1,0
NT0217,40,500,151,3,1,0
NT0218,11,202,21,0,0,0
NT0219,39,539,174,1,0,4
NT0220,34,426,92,0,1,1
NT0221,74,723,225,0,0,0
NT0222,38,681,208,0,0,1
NT0223,36,748,189,0,0,1
NT0224,88,670,161,0,0,0
NT0225,34,533,179,0,0,0
NT0226,10,180,13,0,0,1
NT0227,3,233,43,0,0,0
NT0228,50,504,171,0,0,2
NT0229,50,668,188,0,0,0
NT0230,83,669,201,1,0,1
NT0232,33,669,148,0,1,0
NT0233,32,454,128,0,0,0
NT0235,19,377,90,0,0,0
NT0301,4,223,9,0,0,0
NT0302,34,463,123,0,0,0
NT0303,186,708,233,2,0,10
NT0304,35,245,29,0,0,1
NT0305,39,199,20,0,3,7
NT0306,36,474,118,0,0,0
NT0307,3,198,43,0,0,0
NT0308,98,635,202,2,0,13
NT0309,99,503,181,3,1,23
NT0310,111,638,238,8,0,14
NT0401,0,35,0,0,2,0
NT0402,10,194,43,3,0,3
NT0404,45,252,73,7,0,24
NT0702,117,822,230,1,0,0
NT0703,255,754,238,0,0,2
NT0704,310,1096,377,9,4,34
NT0705,0,25,0,0,0,0
NT0707,152,845,244,0,1,2
NT0708,86,636,173,3,0,1
NT0709,107,1002,300,1,1,1
NT0710,84,601,139,7,0,4
NT0801,63,479,114,0,0,0
NT0802,12,305,74,5,0,0
NT0803,43,401,89,4,0,0
NT0805,22,311,75,4,2,5
NT0902,21,248,31,0,0,0
NT0903,7,197,19,0,0,0
NT0904,20,265,41,0,0,0
NT0905,30,414,119,0,0,0
NT0906,40,492,183,0,0,0
NT0907,90,631,200,0,0,0
NT0908,58,483,120,1,0,0
NT0909,62,461,114,0,0,0
NT1001,28,352,139,1,0,7
NT1002,73,765,247,1,0,4
NT1003,73,1050,266,1,2,5
NT1004,46,785,199,0,0,1
NT1005,44,625,205,0,0,0
NT1006,271,1389,361,0,0,5
NT1007,22,550,162,0,0,0
NT1008,17,235,87,2,0,1
NT1010,26,305,122,4,0,4
NT1201,16,249,52,1,0,1
NT1301,30,525,176,0,0,0
NT1303,3,216,38,0,0,1
NT1304,129,675,211,2,3,6
NT1305,14,246,35,0,1,0
NT1306,32,248,29,0,0,0
NT1307,0,114,6,4,20,0
NT1308,45,673,197,0,0,1
NT1309,68,747,213,0,0,1
NT1312,40,519,151,0,0,0
NT1313,33,618,196,2,0,1
NT1314,3,243,47,1,0,0
NT1315,24,448,143,2,3,5
NT1316,38,488,161,0,0,2
NT1318,0,21,0,0,0,0
NT1401,183,1214,353,0,0,0
NT1402,71,411,60,0,0,0
NT1403,138,811,253,0,0,0
NT1404,36,483,185,0,0,0
NT1405,130,812,231,0,0,0
NT1406,246,805,244,0,0,2
NT1407,85,642,209,0,0,1
OC0103,0,54,1,0,6,0
OC0105,2,110,6,1,7,1
OC0106,0,110,2,0,4,0
OC0108,0,58,0,0,8,0
OC0109,0,44,1,0,0,0
OC0110,1,93,2,1,12,1
OC0112,0,78,2,0,11,0
OC0114,0,70,1,0,1,0
OC0115,0,59,0,0,7,0
OC0117,0,58,0,0,0,0
OC0201,1,99,4,0,0,0
OC0202,0,107,2,0,1,0
OC0203,0,85,2,1,8,0
OC0701,0,65,2,0,0,0
OC0702,0,96,2,0,0,0
PA0101,88,476,160,1,0,7
PA0102,100,661,214,0,0,2
PA0401,19,187,69,0,0,0
PA0402,25,292,82,0,0,0
PA0403,0,43,1,0,1,0
PA0404,22,288,102,0,0,0
PA0405,16,234,60,0,0,0
PA0406,22,256,77,1,0,0
PA0407,14,303,103,0,0,1
PA0408,16,284,125,8,1,0
PA0409,6,220,43,0,0,0
PA0410,13,266,74,0,0,0
PA0411,20,396,149,0,0,1
PA0412,23,276,100,0,0,0
PA0413,18,266,55,0,0,2
PA0414,16,252,75,0,0,0
PA0415,67,443,114,1,1,6
PA0416,12,239,81,0,0,0
PA0417,58,417,160,0,1,3
PA0418,23,251,90,0,0,0
PA0419,20,293,114,0,0,0
PA0420,13,238,76,0,0,0
PA0421,6,194,39,0,0,0
PA0422,16,284,101,0,0,0
PA0423,4,217,38,0,0,0
PA0424,25,403,135,0,0,1
PA0425,0,53,3,0,2,0
PA0426,18,352,99,1,1,0
PA0427,26,230,46,1,0,0
PA0428,28,257,62,0,0,0
PA0429,6,196,34,0,0,0
PA0430,17,322,90,0,0,0
PA0431,25,250,94,0,0,0
PA0432,24,259,81,0,0,0
PA0433,15,207,74,0,0,1
PA0434,39,382,157,0,0,1
PA0435,18,253,83,0,0,0
PA0436,17,277,88,0,0,0
PA0437,57,379,151,0,0,1
PA0438,5,219,40,0,0,0
PA0439,13,233,39,0,0,0
PA0440,31,270,51,0,0,0
PA0441,28,253,48,0,0,0
PA0442,0,114,37,0,0,0
PA0443,9,290,74,0,0,0
PA0444,10,253,81,0,0,0
PA0445,27,257,98,0,0,0
PA0446,15,325,113,3,0,2
PA0501,28,248,94,2,0,1
PA0502,3,305,129,0,0,0
PA0503,5,173,28,0,0,0
PA0504,19,223,89,1,0,0
PA0505,9,269,78,0,0,0
PA0506,5,317,88,1,0,0
PA0507,14,284,112,0,0,0
PA0508,5,153,61,1,0,0
PA0509,45,498,181,0,0,0
PA0510,5,222,38,0,0,0
PA0511,23,221,61,0,0,0
PA0512,1,185,50,0,0,0
PA0513,11,282,71,0,1,0
PA0514,60,565,147,0,0,6
PA0515,15,254,86,0,0,0
PA0516,54,639,239,5,0,1
PA0517,7,290,125,0,0,0
PA0518,83,486,199,2,1,5
PA0519,7,305,104,0,0,0
PA0520,4,208,38,0,0,0
PA0521,1,276,99,0,0,0
PA0601,8,348,102,2,0,0
PA0602,0,78,3,0,0,0
PA0603,1,197,34,0,0,0
PA0604,1,119,30,0,0,0
PA0605,3,218,49,0,0,0
PA0606,8,281,69,1,0,0
PA0607,4,203,40,1,0,0
PA0608,12,279,84,0,0,0
PA0609,5,262,83,0,0,0
PA0610,11,239,69,0,0,0
PA0611,10,274,80,0,0,0
PA0801,0,287,82,0,0,0
PA0802,2,285,107,0,0,0
PA0803,9,249,56,0,0,0
PA0804,5,266,86,0,0,0
PA0805,16,290,117,2,0,0
PA0806,2,255,85,0,0,0
PA0807,0,55,0,0,0,0
PA0808,2,309,98,0,0,2
PA0809,10,298,102,0,0,0
PA0810,12,278,107,0,0,0
PA0811,4,228,72,0,0,0
PA0812,4,298,97,1,0,0
PA0813,9,357,130,0,0,0
PA0814,22,315,145,1,0,0
PA0815,2,251,77,0,0,0
PA0816,5,286,105,0,0,0
PA0817,5,257,79,0,0,0
PA0818,2,291,99,0,0,0
PA0901,11,258,72,0,0,0
PA0902,9,228,33,0,0,0
PA0903,8,201,56,0,0,0
PA0904,6,253,60,0,0,0
PA0905,7,286,80,0,0,0
PA0906,4,236,47,0,0,0
PA0907,11,259,72,0,0,0
PA0908,12,232,32,0,0,0
PA1001,2,307,118,0,0,0
PA1002,6,261,99,1,0,0
PA1003,76,738,241,0,0,1
PA1004,5,261,75,0,0,0
PA1005,3,283,82,0,0,0
PA1006,13,311,97,1,0,0
PA1007,1,197,63,0,0,0
PA1008,2,232,80,1,0,0
PA1009,8,274,90,0,0,0
PA1010,8,218,66,0,0,0
PA1011,3,158,65,0,0,0
PA1012,17,432,117,0,0,0
PA1013,10,270,119,0,0,1
PA1014,1,275,91,0,0,0
PA1015,3,168,71,0,0,0
PA1016,4,286,103,0,0,0
PA1017,60,529,238,0,0,0
PA1018,7,318,86,0,0,0
PA1019,2,304,113,0,0,0
PA1020,9,256,91,0,0,0
PA1021,18,480,122,0,0,1
PA1022,5,223,83,0,0,0
PA1101,0,47,6,0,0,0
PA1102,1,170,39,0,0,0
PA1103,3,204,47,0,0,0
PA1104,1,152,33,0,0,0
PA1105,1,155,33,0,0,0
PA1106,1,160,28,0,0,0
PA1107,2,116,32,0,0,0
PA1108,3,189,42,0,0,0
PA1109,0,42,6,0,0,0
PA1110,5,220,46,0,0,0
PA1111,1,161,40,0,0,0
PA1112,6,265,70,0,0,0
PA1113,0,37,5,2,0,0
PA1114,3,143,40,0,0,0
PA1201,27,292,104,0,0,2
PA1202,14,270,79,0,0,0
PA1203,0,101,8,1,4,0
PA1204,7,137,33,0,0,0
PA1205,3,131,26,0,0,0
PA1206,3,165,20,1,0,0
PA1207,16,343,121,2,0,2
PA1208,20,220,65,0,0,0
PA1209,25,267,78,0,0,0
PA1210,23,277,89,0,0,1
PA1211,25,257,83,0,0,1
PA1212,8,286,76,4,1,0
PA1213,12,320,104,1,0,0
PA1214,13,319,103,1,0,1
PA1215,28,281,94,0,0,2
PA1216,21,221,71,0,0,0
PA1217,16,254,86,0,0,0
PA1218,15,178,63,0,0,0
PA1219,9,213,42,0,0,0
PA1220,17,298,94,0,0,2
PA1221,21,264,58,0,0,0
PA1222,33,271,81,2,0,6
PA1301,2,238,63,0,0,0
PA1302,6,272,121,0,0,0
PA1303,9,358,103,1,0,0
PA1304,5,255,44,0,0,0
PA1305,10,279,93,0,0,0
PA1306,2,262,87,0,0,0
PA1307,15,532,143,1,0,1
PA1308,8,288,111,0,0,0
PA1309,6,298,87,0,0,1
PA1310,3,297,112,1,0,0
PA1311,0,273,91,0,0,0
PA1312,2,274,89,0,0,0
PA1313,10,307,115,0,0,0
PA1314,3,164,86,0,0,0
PA1315,1,167,71,0,0,0
PA1316,3,268,104,0,0,0
PA1317,2,300,126,0,0,0
PA1318,7,284,103,0,0,0
PA1319,3,236,78,0,0,0
PA1320,4,306,98,0,0,0
PA1321,16,366,121,4,0,0
PA1322,3,285,89,0,0,0
PA1323,1,226,37,0,0,0
PA1324,1,157,60,0,0,0
PA1325,5,307,73,0,0,0
PA1326,6,243,65,0,0,0
PA1327,10,328,91,0,0,0
PA1328,8,348,85,0,0,0
PA1329,7,336,84,0,0,0
PA1330,1,241,103,0,0,0
PA1331,0,62,18,0,0,0
PA1332,6,175,59,0,0,0
PA1333,2,232,48,0,0,0
